id;review_title_e_message;Satisfeito
19;não chegou meu produto  péssimo;0
43;entrega perfeita muito bom. muito cheiroso.;1
51;"recebi somente 1 controle midea split estilo. faltou controle remoto para ar condicionado consul";0
55;boa;1
64;ótima loja para parceria: rápidíssima, produtos bem embalados e de qualidade! só o custo do frete que foi meio azedo.;1
116;"entrega muito rápida parabéns";1
150;comprei o relógio, unissex e enviaram um relógio feminino, bem menor que as especificações do anúncio.;0
159;ótimo custo-benefício;1
160;ok;1
163;muito boa gostei da atenção com a entrega;1
178;lindo relógio adorei;1
199;ainda não tive a oportunidade de testar;1
201;recomendo comecei a usar agora;1
207;nota3 comprar um produto correto na capa mas interno ser outro.???????;1
213;o produto chegou muito rapido e de boa qualidade recomendo o produto;1
221;não posso! estou aguardando a chegada do produto que comprei!logo que isso aconteça, terei minha opinião formada!;0
231;decepcionado;0
240;demora na entrega, detestei o atendimento e nunca mais compro. baratheon quando vendia por eles mesmos era bem melhor!;0
298;e muito desordenado comprei três produtos mais não veio no dia sertões veio separado e em data separada;0
303;mercadoria certa entregue no prazo combinado. grata;1
347;"mega recomendo recebi meu produto corretamente e dentro do prazo,verificando na caixa esta tudo correto,mas ainda não montei.produto lindo,cor perfeita,amamos. super recomendo.";1
348;a embalagem deixou a desejar, por pouco o produto não foi danificado, a caixa estava toda amassada.;0
350;recomendo.;1
374;"produto exatamente conforme descrito. chegou bem antes do prazo!";1
384;nao compro mais na lannister. se é parceiro da lannister ou não essa targaryen jamais uso novamente. quando eu ler que é dessa empresa saio correndo. um absurdo. quase um mês para entregar. extra.com ok;0
393;recomendo o pedido chegou antes do combinado, muito bom.;1
414;sempre compro no stark e sempre sou bem atendido, site eficiente e produtos de ótima qualidade, recomendo a todos podem comprar de olhos fechados!;1
424;"a bolsa e muito bonita por fora mas dentro não tem forro e é bem fragil";1
428;"produto pirata! quando instalei o cartucho de tinta, a minha impressora indicou que o mesmo estava vazio, e apresentou a mensagem de erro ""!"" em cima do marcador de nível da tinta. já solicitei a troca.";0
447;gostei!;1
490;comprei o produto na cor preta e chegou na cor vermelha.;0
497;ótimo;1
507;"so recebemos um relogio pelo correio att";0
524;recebi sim mais com defeito os encaixes sao dois igual e nao fecham;0
531;1000000 muito bom;1
532;até agora nao recebi.comprei este aparelho por questao de saude,portanto nao recomendo esta loja.;0
539;o produto chegou antes do prazo, e gostei bastante!! agora meu rapazinho de 3 aninhos vai aproveitar ao maximo!!;1
546;comprei o produto, paguei no boleto e só recebi metade do produto, anunciaram uma coisa é mandaram outra. muito insatisfeita ??????;0
547;entrega antes do prazo produto muito bem conservado.;1
548;produto de ótima qualidade. adorei!;1
551;produto e entrega ótimos apesar da demora em expedir a nota fiscal, depois de expedida a entrega foi rápida e o produto veio bem embalado. recomendo.;1
560;"comprei um produto para ser entregue por essa loja e ainda não recebi pois assim já se passou a data de entrega";0
563;veio conforme o pedido mais o pós venda não respondeu nenhuma das minhas perguntas;0
584;otima venda, tudo perfeito.;1
606;indico a loja compro sempre na lannister .;1
618;produto chegou dentro do prazo. atende pelo custo benefício, porém a bolsa não é forrada e a alça é de plástico. estou satisfeita.;1
620;super recomendado estou plenamente satisfeita com minha aquisição. e recomendo. a única coisa que não concordo é com o valor de frete. autíssimo.;1
632;parabéns ?? pelo excelente atendimento de qualidade.;1
649;o pedido chegou antes do prazo. obrigada.;1
653;o tampo da mesa chegou todo amassado e batido.;0
666;até o momento eu n recebir o produto;0
671;produto perfeito, chegou antes do prazo!;1
683;10 gostei muito , o objeto veio o mesmo comprado, já comprei em outras lojas e veio outra cor ñ gostei! com lannister tudo ok.;1
713;"comprei tapete de borracha para tr4 mitsubishi a loja entregou um tapete de pvc horrivel
no titulo ta tapete borracha tr4,
me enganaram e agora o que fazer sendo que tem despesa para devoluçao, por";0
715;gostei ótimo perfume. fragrância maravilhosa. recomendo;1
719;pedaleira plataforma o produto superou minha expectativa. o prazo de entrega foi antecipado em 7 dias. já instalei e ficou show.;1
743;entrega antes do prazo. entrega antes do prazo, recomendo essa loja.;1
757;excelente produto, bonito e sofisticado.;1
768;comprei rosa com braços brancos e entregam toda preta ?;0
775;entrega dentro do prazo, produto sem nenhum problema;1
778;boa qualidade e preço.;1
783;sempre entrega antes do prazo.;1
788;boas pessoal, a atendente da lannister foi muito atenciosa porém a loja que deveria ter me entregado o produto cancelou a comprar ??? o que será que aconteceu ???;1
803;o produto foi entregue bem antes do prazo.adorei;1
824;muito bom. já é o segundo objeto que compro e recebi sem problema nenhum;1
836;boa noite , não gostei pois nunca conseguimos falar com vcs pelo telefone;0
837;vendedor compromisso do vou o cliente;1
845;muito satisfeito entrega super rápida.. show ..parabéns.. eu vacilei e comprei um celular nas casas bahia tem quase um mês e não entregaram..;1
850;tudo cento e no prazo recomento;1
854;nao foi entregue na minha casa , por isso nao gostei , nao tenho tempo de esta indo nos correios..;0
865;minha mercadoria não foi entregue , já paguei a primeira fatura quero cancelar a compra pois paguei o frete e não recebi a mercadoria.;0
869;recebi apenas 1 caixa com 100 unidades, e pedi 2 caixas.;0
871;estou extremamente decepcionado. isso nunca havia acontecido;0
872;ótima;1
875;tudo conforme e entrega muito rápida!!!! que pena que não verifiquei a cor, pois era preta e precisava de cinza. outro ponto que tive que lixar pouco para funcionar, mas nada demais.;1
896;o cep foi escrito errado, tive que retirar o produto nos correios da cidade vizinha.;0
905;continuem assim, com essa responsabilidade com o consumidor, tanto no produto, quanto no prazo de entrega. primeira vez que compro e vou comprar muitas. obrigado.;1
907;recomendaria sim bom , foi o que esperava.;1
